"LINEAGE_NAME","GENUS_NAME","SPECIES_NAME","REFERENCE_NAME","MORPHOLOGY_COMMENT"
"ACCFRA01","Leucocytozoon","Leucocytozoon toddi","Barraclough et al 2008",
"ACCNIS06","Haemoproteus","Haemoproteus nisi","Harl et al 2024",
"ACCOP01","Leucocytozoon","Leucocytozoon mathisi","Valkiunas et al 2010a",
"ACNI04","Leucocytozoon","Leucocytozoon mathisi","Valkiunas et al 2010a",
"ALARV01","Haemoproteus","Haemoproteus tartakovskyi","Zehtindjiev et al 2012",
"ALARV02","Haemoproteus","Haemoproteus tartakovskyi","Zehtindjiev et al 2012",
"ALARV03","Haemoproteus","Haemoproteus tartakovskyi","Zehtindjiev et al 2012",
"ALCLEU01","Haemoproteus","Haemoproteus enucleator","Beadell et al 2006","Nomen dubium - no documentation"
"ALEDIA02","Plasmodium","Plasmodium parahexamerium","Valkiunas et al 2009a",
"ANLAT01","Plasmodium","Plasmodium globularis","Valkiunas et al 2008b",
"ANLAT02","Haemoproteus","Haemoproteus vacuolatus","Valkiunas et al 2008b",
"ANLAT07","Plasmodium","Plasmodium multivacuolaris","Valkiunas et al 2009a",
"ANSOM01","Haemoproteus","Haemoproteus coatneyi","Gonzalez et al 2015",
"ARBRU01","Haemoproteus","Haemoproteus coatneyi","Gonzalez et al 2015",
"ARBRU02","Haemoproteus","Haemoproteus coatneyi","Mantilla et al 2016",
"ARW1","Haemoproteus","Haemoproteus belopolskyi","Valkiunas et al 2007a","Identification not confirmed by morphology"
"ATPAL02","Haemoproteus","Haemoproteus coatneyi","Gonzalez et al 2015",
"BAEBIC02","Plasmodium","Plasmodium homopolare","Walther et al 2014",
"BAEBIC02","Plasmodium","Plasmodium homopolare","Gonzalez et al 2015",
"BUBO01","Leucocytozoon","Leucocytozoon danilewskyi","Ortego & Cordero 2009","Described as L. ziemanni, a synonym of L. danilewskyi"
"BUBT1","Haemoproteus","Haemoproteus multivacuolatus","Harl et al 2024",
"BUBT2","Leucocytozoon","Leucocytozoon buteonis","Valkiunas et al 2010a",
"BUL1","Haemoproteus","Haemoproteus sanguinis","Martinsen et al 2006",
"BUL2","Haemoproteus","Haemoproteus sanguinis","Martinsen et al 2006",
"BUTJAM10","Leucocytozoon","Leucocytozoon buteonis","Valkiunas et al 2010a",
"BUTREG01","Leucocytozoon","Leucocytozoon buteonis","Valkiunas et al 2010a",
"CATAUR01","Haemoproteus","Haemoproteus catharti","Yabsley et al 2018",
"CB1","Leucocytozoon","Leucocytozoon majoris","Perkins 2008","Identified by Courtney Murdock"
"CCF3","Haemoproteus","Haemoproteus fringillae","Krizanauskiene et al 2006",
"CCF3","Haemoproteus","Haemoproteus fringillae","Valkiunas et al 2008c",
"CCF5","Haemoproteus","Haemoproteus majoris","Krizanauskiene et al 2006",
"CCF7","Haemoproteus","Haemoproteus magnus","Martinsen et al 2008",
"CELEC01","Haemoproteus","Haemoproteus fuscae","Ivanova et al 2018",
"CIAE08","Haemoproteus","Haemoproteus nisi","Harl et al 2024",
"CIRCUM01","Haemoproteus","Haemoproteus noctuae","Bukauskaite et al 2015",
"COCOR01","Haemoproteus","Haemoproteus danilewskyii","Martinsen et al 2006",
"COLAUR01","Leucocytozoon","Leucocytozoon polynuclearis","Groff et al 2022",
"COLBUC01","Haemoproteus","Haemoproteus multipigmentatus","Valkiunas et al 2010b",
"COLIV03","Haemoproteus","Haemoproteus columbae","Chagas et al 2016",
"COLL2","Haemoproteus","Haemoproteus pallidus","Krizanauskiene et al 2006",
"COLL3","Haemoproteus","Haemoproteus balmorali","Hellgren et al 2007a",
"COLL4","Plasmodium","Plasmodium homocircumflexum","Palinauskas et al 2015",
"COLL6","Plasmodium","Plasmodium delichoni","Valkiunas et al 2016a",
"COLPAS03","Haemoproteus","Haemoproteus paramultipigmentatus","Valkiunas et al 2013c","The isolate for the morphological description: Genbank accession nr JN788934 of"
"COLPAS05","Haemoproteus","Haemoproteus paramultipigmentatus","Valkiunas et al 2013c",
"COLTAL01","Haemoproteus","Haemoproteus multipigmentatus","Valkiunas et al 2010b",
"COQUI05","Haemoproteus","Haemoproteus columbae","Chagas et al 2016",
"CORCRI01","Haemoproteus","Haemoproteus minchini","Chavette et al 2017",
"CORGAR01","Haemoproteus","Haemoproteus coraciae","Vaclav et al 2016",
"CRALOU01","Haemoproteus","Haemoproteus bukaka","Goulding et al 2016",
"CREFUR01","Haemoproteus","Haemoproteus jenniae","Levin et al 2012",
"CUKI1","Haemoproteus","Haemoproteus homominutus","Valkiunas et al 2019",
"CULKIB01","Haemoproteus","Haemoproteus syrnii","Bukauskaite et al 2015",
"CWT4","Haemoproteus","Haemoproteus majoris","Krizanauskiene et al 2006",
"CYAOLI03","Haemoproteus","Haemoproteus cyanomitrae","Iezhova et al 2010",
"CYAOLI05","Haemoproteus","Haemoproteus cyanomitrae","Iezhova et al 2010",
"CYAOLI06","Haemoproteus","Haemoproteus cyanomitrae","Iezhova et al 2010",
"CYAOLI09","Plasmodium","Plasmodium lucens","Valkiunas et al 2009a",
"DELURB1","Haemoproteus","Haemoproteus hirundinis","Valkiunas et al 2014",
"DELURB2","Haemoproteus","Haemoproteus hirundinis","Duc et al 2023a",
"DENAUT01","Haemoproteus","Haemoproteus macrovacuolatus","Matta et al 2014b",
"DENCOR01","Haemoproteus","Haemoproteus coatneyi","Martinsen et al 2008",
"DENPET03","Plasmodium","Plasmodium nucleophilum","Chagas et al 2013",
"DIGCYA08","Plasmodium","Plasmodium lutzi","Gonzalez et al 2015",
"DIGLAF01","Plasmodium","Plasmodium lutzi","Gonzalez et al 2015",
"DIGLAF02","Plasmodium","Plasmodium lutzi","Gonzalez et al 2015",
"DRYALB01","Leucocytozoon","Leucocytozoon polynuclearis","Groff et al 2022",
"EMCIR01","Haemoproteus","Haemoproteus dumbbellus","Duc et al 2023a",
"ERIRUB01","Plasmodium","Plasmodium elongatum","Palinauskas et al 2016",
"FALSUB01","Haemoproteus","Haemoproteus tinnunculi","Valkiunas et al 2019",
