"REFERENCE_NAME","PUBLICATION_YEAR","TITLE","JOURNAL_NAME","VOLUME_PAGES","STUDY_TYPE"
"Abella-Medrano et al 2018",2018,"Blood-meal preferences and avian malaria detection in mosquitoes (Diptera: Culicidae) captured at different land use types within a neotropical montane cloud forest matrix","Parasitology International","67:313-320","Vector screening"
"Alley et al 2010",2010,"Concurrent avian malaria and avipox virus infection in translocated South Island Saddlebacks (Philesturnus carunculatus carunculatus)","New Zealand Veterinary Journal","58:218-223","Single species"
"Aly et al 2020",2020,"Morphological and molecular characterization of Plasmodium cathemerium (lineage PADOM02) from the sparrow Passer domesticus with complete sporogony in Culex pipiens complex","Parasitology","147:985-993","Vector experimental"
"Anjos et al 2021",2021,"Avian malaria and related parasites from resident and migratory birds in the Brazilian Atlantic forest, with description of a new Haemoproteus species","Pathogens","10:103","Taxonomic"
"Anjos et al 2023",2023,"Prevalence and genetic diversity of avian haemosporidian parasites in islands within a mega hydroelectric dam in the Brazilian Amazon","Parasitol Res",,"Community"
"Argilla et al 2013",2013,"High prevalence of Leucocytozoon spp. in the endangered yellow-eyed penguin (Megadyptes antipodes) in the sub-Antarctic regions of New Zealand","Parasitology","140:672-682","Single species"
"Awoyemi et al 2025",2025,"Diversity and prevalence of avian haemosporidians across Afrotropical urban and non-urban habitats","Avian Diseases",,"Community"
"Ayadi et al 2018",2018,"Diversity, prevalence and host specificity of avian parasites in southern Tunisian oases","Parasitology","145:971-978","Two Species"
"Aysul et al 2013",2013,"Detection and molecular characterization of a Haemoproteus lineage in a tawny owl (Strix Aluco) in Turkey","Ankara Universitesi Veteriner Fakultesi Dergisi","60:179-183","Single species"
"Baillie & Brunton 2011",2011,"Diversity, distribution and biogeographical origins of Plasmodium parasites from New Zealand bellbird (Anthornis melanura)","Parasitology","138:1843-1851","Single species"
"Balasubramaniam et al 2013",2013,"Prevalence and diversity of avian haematozoa in three species of Australian passerine","Emu","113:353-358","Two Species"
"Banda et al 2012",2012,"A cluster of avian malaria cases in a kiwi management programme","New Zealand Veterinary Journal","DOI:10.1080/00480169","Veterinary"
"Baron et al 2014",2014,"Disease screening of three breeding populations of adult exhibition budgerigars (Melopsittacus undulatus) in New Zealand reveals a high prevalence of a novel polyomavirus and avian malaria infection","Avian Diseases","58:111-117","Veterinary"
"Barraclough et al 2008",2008,"Attraction between sexes: male-female gametocyte behaviour within a Leucocytozoon toddi (Haemosporida)","Parasitol Res","102:1321-1327","Taxonomic"
"Barrow et al 2019",2019,"Genomic sequence capture of haemosporidian parasites: Methods and prospects for enhanced study of host-parasite evolution","Mol Ecol Res","19:400-410","Method"
"Bataille et al 2012",2012,"Host selection and parasite infection in Aedes taeniorhynchus, endemic disease vector in the Galápagos Islands","Infection, Genetics and Evolution","12:1831-1841","Vector screening"
"Beadell & Fleischer 2005",2005,"A restriction enzyme-based assay to distinguish between avian hemosporidians","J Parasitol","91:683-685","Method"
"Beadell et al 2004",2004,"Prevalence and differential host-specificity of two avian blood parasite genera in the Australo-Papuan region","Mol Ecol","13 :3829–3844","Community"
"Beadell et al 2006",2006,"Global phylogeographic limits of Hawaii's avian malaria","Proc R Soc Lond B","273:2935–2944","Phylogenetic"
"Beadell et al 2009",2009,"Host association and evolutionary relationships of avian blood parasites from West Africa","Int J Parasitol","39:257-266","Community"
"Bell et al 2020",2020,"Haemosporidian parasites of chilean ducks: the importance of biogeography and nonpasserine hosts","J Parasitol",,"Two Species"
"Bell et al 2025a",2025,"Haemosporidian infection risk and community structure determined by duck feeding guild","Parasitology",,"Community"
"Bell et al 2025b",2025,"Molecular survey of haemosporidian parasites in hawks, falcons, and owls (Accipitriformes, Falconiformes, Strigiformes) from Minnesota and North Dakota, with remarks on the phylogenetic relationships of haemosporidians in North American raptors","J Parasitol","111:299–314","Host clade"
"Bensch & Åkesson 2003",2003,"Temporal and spatial variation of hematozoans in Scandinavian willow warblers","J Parasitol","89:388-391","Single species"
"Bensch et al 2000",2000,"Host specificity in avian blood parasites: a study of Plasmodium and Haemoproteus mitochondrial DNA amplifies from birds","Proc R Soc Lond B","267:1583-1589","Phylogenetic"
"Bensch et al 2004",2004,"Linkage between nuclear and mitochondrial DNA sequences in avian malaria parasites: multiple cases of cryptic speciation?","Evolution","58:1617-1621","Nuclear genes"
"Bensch et al 2007",2007,"Temporal dynamics and diversity of avian malaria parasites in a single host species","J Anim Ecol","76 :112–122","Single species"
"Bensch et al 2012",2012,"Low prevalence of Haemoproteus infections in chiffchaffs","Parasitology","139, 302–309","Two Species"
"Bentz et al 2006",2006,"Sensitive measure of prevalence and parasitemia of haemosporidia from European blackbird (Turdus merula) populations: value of PCR-RFLP and quantitative PCR","Parasitology","133:685–692","Single species"
"Bertram et al 2017",2017,"A novel Haemosporida clade at the rank of genus in North American cranes (Aves: Gruiformes)","Mol Phyl Evol","109:73-79","Taxonomic"
"Biedrzycka et al 2015",2015,"A quantitative PCR protocol for detecting specific Haemoproteus lineages: molecular characterization of blood parasites in a Sedge Warbler population from southern Poland","J Ornithol","156:201-208","Single species"
"Bobeva et al 2013",2013,"A survey of biting midges of the genus Culicoides Latreille, 1809 (Diptera: Ceratopogonidae) in NE Bulgaria, with respect to transmission of avian haemosporidians","Acta Parasitologica","58:585-591","Vector screening"
"Bodawatta et al 2020",2020,"Spatiotemporal patterns of avian host–parasite interactions in the face of biogeographical range expansions","Mol Ecol","29:2431–2448","Community"
"Bonneaud et al 2006",2006,"Major histocompatibility alleles associated with local resistance to malaria in a passerine","Evolution","60:383–389","Single species"
"Bonneaud et al 2009",2009,"The prevalence of avian Plasmodium is higher in undisturbed tropical forests of Cameroon","J Tropical Ecology","25:439–447","Community"
"Bosholn et al 2016",2016,"Effects of avian malaria on male behaviour and female visitation in lekking blue-crowned manakins","J Avian Biol","47:457-465","Single species"
"Boundenga et al 2017",2017,"Haemosporidian Parasites of Reptiles and Birds from Gabon, Central Africa","J Parasitol","103:330-337","Community"
"Boyd et al 2018",2018,"Alternative reproductive strategies in white-throated sparrows are associated with differences in parasite load following experimental infection","Biological Invasions",,"Infection Experiment"
"Bueno et al 2010",2010,"Identification of Plasmodium relictum causing mortality in penguins (Spheniscus magellanicus) from São Paulo Zoo, Brazil","Veterinary Parasitology","173:123-127","Veterinary"
"Bukauskaite et al 2015",2015,"Biting midges (Culicoides, Diptera) transmit Haemoproteus parasites of owls: evidence from sporogony and molecular phylogeny","Parasites & Vectors","8:303","Ookinete development and hybridization"
"Bukauskaitė et al 2024",2024,"Difference of haemosporidian parasite prevalence and diversity in migratory and resident birds of prey species revealed by non-invasive sampling method","Ecology and Evolution","14:e11038","Two Species"
"Cadena-Ortiz et al 2018",2018,"Avian haemosporidian infections in rufous-collared sparrows in an Andean dry forest: diversity and factors related to prevalence and parasitaemia","Parasitology","146:765-773","Single species"
"Calero-Riestra & Garcia 2016",2016,"Sex-dependent differences in avian malaria prevalence and consequences of infections on nestling growth and adult condition in the Tawny pipit, Anthus campestris","Malaria Journal","15:178","Single species"
"Cannell et al 2013",2013,"The pathology and pathogenicity of a novel Haemoproteusspp. infection in wild Little Penguins (Eudyptula minor)","Veterinary Parasitology","197:74-84","Veterinary"
"Capasso et al 2023",2023,"Surveillance of avian Malaria and related hemoparasites from migratory seabirds in the Atlantic coast of South America","Parasitology","150:498–504","Single species"
"Carlson et al 2011",2011,"Implications of Plasmodium parasite infected mosquitoes on an insular avifauna: the case of Socorro Island, Mexico","J Vector Ecol","36:213-220","Vector screening"
"Carlson et al 2013",2013,"Diversity and phylogenetic relationships of hemosporidian parasites in birds of socorro island, mexico, and their role in the re-introduction of the socorro dove (zenaida graysoni)","J Parasitol","99:270-276","Community"
"Carvalho et al 2022",2022,"Molecular detection of Leucocytozoon in red-legged seriemas (Cariama cristata), a non-migratory bird species in the Brazilian Cerrado","Veterinary Parasitology: Regional Studies and Reports","31:1-4","Single species"
"Casanueva et al 2012",2012,"High prevalence of haemosporidian parasites infection in southern grey shrike Lanius meridionalis (Laniidae, Aves) from agricultural areas","Italian J Zoology","79:315-318","Single species"
"Cellier-Holzem et al 2011",2011,"Effect of repeated exposure to Plasmodium relictum (SGS1) on infection dynamics in domestic canaries","Int J Parasitol","40:1447-1453","Infection Experiment"
"Chagas et al 2013",2013,"Plasmodium (Novyella) nucleophilum from an Egyptian Goose in São Paulo Zoo, Brazil: microscopic confirmation and molecular characterization","IJP: Parasites and Wildlife","2:286-291","Taxonomic"
"Chagas et al 2016",2016,"Hemosporidian parasites of free-living birds in the Sao Paulo zoo, Brazil","Parasitol Res","115:1443-1452","Community"
"Chagas et al 2017",2017,"Diversity and distribution of avian malaria and related haemosporidian parasites in captive birds from a Brazilian megalopolis","Malaria Journal",,"Community"
"Chagas et al 2018",2018,"A new blood parasite of leaf warblers: molecular characterization, phylogenetic relationships, description and identification of vectors","Parasites & Vectors","11:538","Taxonomic"
"Chagas et al 2021",2021,"Description and molecular characterization of two species of avian blood parasites, with remarks on circadian rhythms of avian haematozoa infections","Animals","11:3490","Veterinary"
"Chagas et al 2022",2022,"What can haemosporidian lineages found in Culicoides biting midges tell us about their feeding preferences?","Diversity","14:957","Vector screening"
"Chagas et al 2024",2024,"High abundance of Haemoproteus parasites in Culicoides (Diptera, Ceratopogonidae), with a confirmation of Culicoides reconditus as a new vector of these avian blood parasites","Insects","15:157","Vector screening"
"Chaisi et al 2019",2019,"Occurrence and diversity of avian haemosporidia in Afrotropical landbirds","IJP: Parasites and Wildlife","8:36-44","Community"
"Chakarov & Blanco 2021",2021,"Blood parasites in sympatric vultures: role of nesting habits and effects on body condition","Int. J. Environ. Res. Public Health","18:2431","Host clade"
"Chakarov et al 2020",2020,"Blood parasites in vectors reveal a united blackfly community in the upper canopy","Parasites & Vectors","13:309","Vector screening"
"Chaser et al 2009",2009,"Prevalence and diversity patterns of avian blood parasites in degraded African rainforest habitats","Mol Ecol","18:4121-4133","Two Species"
"Chavette et al 2017",2017,"Haematozoa of the great blue turacos, Corythaeola cristata (Vieillot, 1816) (Aves: Musophagiformes: Musophagidae) imported to Singapore Jurong Bird Park with description and molecular characterisation of Haemoproteus (Parahaemoproteus) minchini new species (Apicomplexa: Haemosporidia: Haemoproteidae)","Raffles Bulletin of Zoology","65:325-340","Taxonomic"
"Ciloglu et al 2016",2016,"Investigation of avian haemosporidian parasites from raptor birds in Turkey, with molecular characterisation and microscopic confirmation","Folia Parasitologica","63:023","Veterinary"
"Ciloglu et al 2020a",2020,"Prevalence and genetic diversity of avian haemosporidian parasites at an intersection point of bird migration routes: Sultan Marshes National Park, Turkey","Acta Tropica","210:105465","Community"
