"LINEAGE_NAME","VECTOR_SPECIES","VECTOR_METHOD","COUNTRY_NAME","SITE_NAME","REFERENCE_NAME"
"ACCTAC01","Coquillettidia aurites","PCR, head and thorax","Cameroon","Ndibi","Njabo et al 2009"
"ACCTAC01","Coquillettidia aurites","PCR, head and thorax","Cameroon","Nkouak","Njabo et al 2009"
"AEDSCA01","Ochlerotatus scapularis","PCR, head and thorax","Brazil",,"Guimaraes et al 2021"
"AEDSP01","Aedes sp.","PCR , whole mosquitoes","Botswana","KAL_STAT_1","Perrin et al 2026"
"AEDSP02","Aedes sp.","PCR , whole mosquitoes","Botswana","KAL_STAT_4","Perrin et al 2026"
"AEDSP03","Aedes sp.","PCR , whole mosquitoes","Botswana","KAL_STAT_4","Perrin et al 2026"
"AEDTAE01","Ochlerotatus taeniorhynchus","PCR, head and thorax","Mexico","Socorro Island","Carlson et al 2011"
"AEDTAE02","Ochlerotatus taeniorhynchus","PCR, head and thorax","Mexico","Socorro Island","Carlson et al 2011"
"AEDTAE03","Ochlerotatus taeniorhynchus","PCR, head and thorax","Mexico","Socorro Island","Carlson et al 2011"
"AEDTAE04","Ochlerotatus taeniorhynchus","PCR, head and thorax","Mexico","Socorro Island","Carlson et al 2011"
"AEDTAE05","Ochlerotatus taeniorhynchus","PCR, head and thorax","Mexico","Socorro Island","Carlson et al 2011"
"AEDTAE06","Ochlerotatus taeniorhynchus","PCR, head and thorax","Mexico","Socorro Island","Carlson et al 2011"
"AEDVEX01","Aedes vexans","PCR, head and thorax","Turkey",,"Inci et al 2012"
"AEESO01","Aedes esoensis","PCR, thorax, unfed","Japan","Kushiro Zoo","Ejiri et al 2011c"
"AEESO02","Aedes esoensis","PCR, abdomen, blood filled","Japan","Kushiro Zoo","Ejiri et al 2011c"
"AFTRU5","Culex pipiens","PCR, abdomen with blood meal","Italy",,"Martinez-de la Puente et al 2015"
"AFTRU5","Culex pipiens","PCR, head and thorax","Switzerland","Dorigny, Lausanne","Lalubin et al 2013"
"ANTPAR05","Culex univittatus","PCR , whole mosquitoes","Botswana","23_VTR_1","Perrin et al 2026"
"ASOT06","Simulium vernum","PCR , whole mosquitoes","Germany","Eastern Westphalia","Chakarov et al 2020"
