"lineage_a","lineage_b","genus_a","genus_b","same_genus","n_comparable","a_private","b_private"
"H_ABSUP01","H_VIOLI15","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_ABSUP01","H_VIRFLA02","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_ABSUP01","H_VIRFLA03","Haemoproteus","Haemoproteus",TRUE,102,224,120
"H_ADEMEL01","H_CATUST02","Haemoproteus","Haemoproteus",TRUE,266,190,10
"H_ADEMEL01","H_CHAFA01","Haemoproteus","Haemoproteus",TRUE,348,108,13
"H_AKGPH02","H_STTRA01","Haemoproteus","Haemoproteus",TRUE,220,205,29
"H_AKGPH05","H_STTRA01","Haemoproteus","Haemoproteus",TRUE,220,205,29
"H_ALMOR07","H_VIOLI15","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_ALMOR07","H_VIRFLA02","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_ALMOR07","H_VIRFLA03","Haemoproteus","Haemoproteus",TRUE,102,224,120
"H_ALMOR10","H_VIOLI15","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_ALMOR10","H_VIRFLA02","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_ALMOR10","H_VIRFLA03","Haemoproteus","Haemoproteus",TRUE,102,224,120
"H_ANTHOD01","P_PARUS2","Haemoproteus","Plasmodium",FALSE,392,40,17
"H_ARBRU01_Haemoproteus_coatneyi","H_ATLBRU01","Haemoproteus","Haemoproteus",TRUE,444,2,33
"H_BONUM01","H_STTRA01","Haemoproteus","Haemoproteus",TRUE,131,230,118
"H_BUCCLA01","H_MERMER01","Haemoproteus","Haemoproteus",TRUE,359,118,2
"H_CARCAR10","H_DENPET01","Haemoproteus","Haemoproteus",TRUE,283,194,2
"H_CATUST02","H_CHAFA01","Haemoproteus","Haemoproteus",TRUE,158,118,203
"H_CATUST22","H_CHAFA01","Haemoproteus","Haemoproteus",TRUE,360,118,1
"H_CHLOP01","H_HELVIO02","Haemoproteus","Haemoproteus",TRUE,440,24,14
"H_COBRA14","H_NECASP01","Haemoproteus","Haemoproteus",TRUE,248,230,1
"H_COLPAS01","H_PEUCAS02","Haemoproteus","Haemoproteus",TRUE,304,1,174
"H_DENCOR01_Haemoproteus_coatneyi","H_MELGEO01","Haemoproteus","Haemoproteus",TRUE,151,210,118
"H_DENCOR01_Haemoproteus_coatneyi","H_PASILI01","Haemoproteus","Haemoproteus",TRUE,360,1,118
"H_DENPEN02","H_MELGEO01","Haemoproteus","Haemoproteus",TRUE,268,210,1
"H_DENPEN02","H_PASILI01","Haemoproteus","Haemoproteus",TRUE,477,1,1
"H_DENPET01","H_PERCAN18","Haemoproteus","Haemoproteus",TRUE,284,1,192
"H_DENVAG02","H_NECASP01","Haemoproteus","Haemoproteus",TRUE,248,55,1
"H_DUMCAR47","H_TOXRUF01","Haemoproteus","Haemoproteus",TRUE,476,1,2
"H_EMGOD01","P_ZOSXAN01","Haemoproteus","Plasmodium",FALSE,257,175,43
"H_ERZAN02","H_VIOLI15","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_ERZAN02","H_VIRFLA02","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_ERZAN02","H_VIRFLA03","Haemoproteus","Haemoproteus",TRUE,102,224,120
"H_FIWES01","H_VIOLI15","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_FIWES01","H_VIRFLA02","Haemoproteus","Haemoproteus",TRUE,102,224,126
"H_FIWES01","H_VIRFLA03","Haemoproteus","Haemoproteus",TRUE,102,224,120
