"haplotype","lineage","genus","informative_length","is_partial","status"
1,"H_ACAED01","Haemoproteus",305,TRUE,"dropped"
1,"H_ACDUM3","Haemoproteus",479,FALSE,"kept"
2,"H_AECA01","Haemoproteus",479,FALSE,"kept"
2,"H_FIZAN01","Haemoproteus",326,TRUE,"dropped"
3,"H_AEFUN03","Haemoproteus",479,FALSE,"kept"
3,"H_GLACUC01","Haemoproteus",304,TRUE,"dropped"
4,"H_ALCPOI02","Haemoproteus",479,FALSE,"kept"
4,"H_ALMOR06","Haemoproteus",326,TRUE,"dropped"
5,"H_ANACRE01","Haemoproteus",479,FALSE,"kept"
5,"H_TUSW06","Haemoproteus",423,TRUE,"dropped"
6,"H_ANIFLA01","Haemoproteus",477,TRUE,"kept"
6,"H_ANSOM01_Haemoproteus_coatneyi","Haemoproteus",452,TRUE,"dropped"
7,"H_ARGCAU1","Haemoproteus",479,FALSE,"kept"
7,"H_TURGUL01","Haemoproteus",249,TRUE,"dropped"
8,"H_BLUTI09","Haemoproteus",478,TRUE,"kept"
8,"H_LARSCO01","Haemoproteus",286,TRUE,"dropped"
9,"H_BNOW03","Haemoproteus",479,FALSE,"kept"
9,"H_FASPA01","Haemoproteus",361,TRUE,"dropped"
10,"H_BUBBUB02","Haemoproteus",479,FALSE,"kept"
10,"H_NINOX06","Haemoproteus",449,TRUE,"dropped"
11,"H_CARCAN02","Haemoproteus",479,FALSE,"kept"
11,"H_SETCER03","Haemoproteus",479,FALSE,"dropped"
12,"H_ADEMEL01","Haemoproteus",456,TRUE,"dropped"
12,"H_CATUST22","Haemoproteus",478,TRUE,"kept"
13,"H_CHRRID01","Haemoproteus",479,FALSE,"kept"
13,"H_LARCAC01","Haemoproteus",199,TRUE,"dropped"
14,"H_CINSOV01","Haemoproteus",479,FALSE,"kept"
14,"H_NENOT04","Haemoproteus",464,TRUE,"dropped"
15,"H_COBRA01","Haemoproteus",479,FALSE,"kept"
15,"H_NECASP01","Haemoproteus",249,TRUE,"dropped"
16,"H_COFLA02","Haemoproteus",262,TRUE,"dropped"
16,"H_COFLA06","Haemoproteus",479,FALSE,"kept"
17,"H_COFLA08","Haemoproteus",479,FALSE,"kept"
17,"H_COFLA13","Haemoproteus",478,TRUE,"dropped"
18,"H_COFLA05","Haemoproteus",466,TRUE,"dropped"
18,"H_COFLA14","Haemoproteus",479,FALSE,"kept"
19,"H_COLPAS01","Haemoproteus",305,TRUE,"dropped"
19,"H_COLPAS03_Haemoproteus_paramultipigmentatus","Haemoproteus",479,FALSE,"kept"
20,"H_COLTAL01_Haemoproteus_multipigmentatus","Haemoproteus",479,FALSE,"kept"
20,"H_ZEGAL04","Haemoproteus",347,TRUE,"dropped"
21,"H_COLPIC01","Haemoproteus",439,TRUE,"dropped"
21,"H_COPIC01","Haemoproteus",479,FALSE,"kept"
22,"H_COLSQU01","Haemoproteus",347,TRUE,"dropped"
22,"H_COSQU04","Haemoproteus",479,FALSE,"kept"
23,"H_ASOT03","Haemoproteus",282,TRUE,"dropped"
23,"H_CULPIC02","Haemoproteus",479,FALSE,"kept"
24,"H_COCOR01_Haemoproteus_danilewskyii","Haemoproteus",361,TRUE,"dropped"
24,"H_CXPIP27","Haemoproteus",479,FALSE,"kept"
25,"H_CYACAE08","Haemoproteus",478,TRUE,"kept"
25,"H_CYACAE09","Haemoproteus",478,TRUE,"dropped"
26,"H_COBRA14","Haemoproteus",478,TRUE,"dropped"
26,"H_CYACRI01","Haemoproteus",479,FALSE,"kept"
27,"H_CYAOLI03_Haemoproteus_cyanomitrae","Haemoproteus",479,FALSE,"kept"
27,"H_NEOBS03","Haemoproteus",244,TRUE,"dropped"
28,"H_CYAOLI05_Haemoproteus_cyanomitrae","Haemoproteus",479,FALSE,"kept"
28,"H_NEOBS04","Haemoproteus",244,TRUE,"dropped"
29,"H_DACGAU01","Haemoproteus",479,FALSE,"kept"
29,"H_TANGAL02","Haemoproteus",477,TRUE,"dropped"
30,"H_DENADE01","Haemoproteus",479,FALSE,"kept"
30,"H_SERUT05","Haemoproteus",285,TRUE,"dropped"
31,"H_DENCOR03","Haemoproteus",479,FALSE,"kept"
31,"H_TABI05","Haemoproteus",285,TRUE,"dropped"
