"lineage","aligned_length_bp","n_ambiguous_bases","n_gaps","n_stop_codons","has_stop_codon","shorter_than_frame","in_synonymy_group"
"H_ABSUP01",326,0,153,0,FALSE,TRUE,FALSE
"H_ABUCUJ01",477,0,2,0,FALSE,TRUE,FALSE
"H_ACAED01",305,0,174,0,FALSE,TRUE,TRUE
"H_ACAED02",429,0,50,0,FALSE,TRUE,FALSE
"H_ACAGR2",479,0,0,0,FALSE,FALSE,FALSE
"H_ACARUF01",479,0,0,0,FALSE,FALSE,FALSE
"H_ACATEN01",479,0,0,0,FALSE,FALSE,FALSE
"H_ACCBAD02",479,0,0,0,FALSE,FALSE,FALSE
"H_ACCGUL01",479,0,0,0,FALSE,FALSE,FALSE
"H_ACCGUL02",479,0,0,0,FALSE,FALSE,FALSE
"H_ACCNIS01",479,0,0,0,FALSE,FALSE,FALSE
"H_ACCNIS02",479,0,0,0,FALSE,FALSE,FALSE
"H_ACCNIS03",479,0,0,0,FALSE,FALSE,FALSE
"H_ACDUM1",479,0,0,0,FALSE,FALSE,FALSE
"H_ACDUM2",479,0,0,0,FALSE,FALSE,FALSE
"H_ACDUM3",479,0,0,0,FALSE,FALSE,TRUE
"H_ACDUM4",450,0,29,0,FALSE,TRUE,FALSE
"H_ACDUM5",479,0,0,0,FALSE,FALSE,FALSE
"H_ACNEW01",467,0,12,0,FALSE,TRUE,FALSE
"H_ACNEW02",479,0,0,0,FALSE,FALSE,FALSE
"H_ACSTE1",478,0,1,0,FALSE,TRUE,FALSE
"H_ACTLIN01",464,0,15,0,FALSE,TRUE,FALSE
"H_ACTLIN02",464,0,15,0,FALSE,TRUE,FALSE
"H_ACTLIN03",464,0,15,0,FALSE,TRUE,FALSE
"H_ACTRI01",305,0,174,0,FALSE,TRUE,FALSE
"H_ADEMEL01",456,0,23,0,FALSE,TRUE,TRUE
"H_ADEMEL02",478,0,1,0,FALSE,TRUE,FALSE
"H_AECA01",479,0,0,0,FALSE,FALSE,TRUE
"H_AEDSCA01",477,0,2,0,FALSE,TRUE,FALSE
"H_AEFUN03",479,0,0,0,FALSE,FALSE,TRUE
"H_AEGCAU01",432,0,47,0,FALSE,TRUE,FALSE
"H_AEGCAU02",432,0,47,0,FALSE,TRUE,FALSE
"H_AEGCAU05",479,0,0,0,FALSE,FALSE,FALSE
"H_AEGCON01",479,0,0,0,FALSE,FALSE,FALSE
"H_AEGLAF01",479,0,0,0,FALSE,FALSE,FALSE
"H_AFR002",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR008",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR019",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR025",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR029",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR034",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR035",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR041",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR042",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR044",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR048",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR050",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR051",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR053",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR057",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR059",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR061",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR062",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR063",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR067",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR070",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR071",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR072",478,0,1,0,FALSE,TRUE,FALSE
"H_AFR073",478,0,1,0,FALSE,TRUE,FALSE
